word,star,1,2,3,4,5
ADAMAĞILLI,***,sifət,,,,
ADAMALDADAN,***,fel,isim,sifət,,
ADAMAOXŞAMAZ,***,sifət,,,,
ADAMAOXŞAMAZLIQ,***,isim,,,,
ADAMAYOVUŞAN,***,sifət,,,,
ADAMAYOVUŞMAZ,***,sifət,,,,
ADAMAYOVUŞMAZLIQ,***,isim,,,,
ADAMBAŞI(NA),***,zərf,,,,
ADAMBOYU,***,sifət,,,,
ADAMCASINA,***,zərf,,,,
ADAMCIĞAZ,***,,,,,
ADAMCIL,***,sifət,,,,
ADAMCILLIQ,***,isim,,,,
ADAMDANQAÇAN,***,sifət,,,,
ADAMLI,***,sifət,,,,
ADAMLIQ,***,isim,,,,
ADAMOYNADAN,***,fel,isim,sifət,,
ADAMSATAN,***,isim,,,,
ADAMSEVMƏZ,***,fel,isim,sifət,,
ADAMSEVMƏZLİK,***,isim,,,,
ADAMSIZ,***,sifət,,,,
ADAMSIZLIQ,***,isim,,,,
ADAMSİT,***,isim,isim,,,
ADAMYANA,***,sifət,zərf,,,
ADAMYEYƏN,***,sifət,,,,
ADAPTASİYA,***,,,,,
ADAPTER,***,,,,,
ADAŞ,***,isim,,,,
ADAŞLIQ,***,isim,,,,
ADAT,***,isim,,,,
ADBAAD,***,zərf,,,,
ADDA-BUDDA,***,sifət,zərf,,,
ADDA-BUDDALIQ,***,isim,,,,
ADDAMA,***,isim,,,,
ADDAMAQ,***,fel,,,,
ADDIM,***,isim,zərf,,,
ADDIMBAADDIM,***,zərf,,,,
ADDIMBAŞI,***,zərf,,,,
ADDIMLAMA,***,fel,,,,
ADDIMLAMAQ,***,fel,,,,
ADDIMLATMAQ,***,fel,,,,
ADDIMLI,***,sifət,,,,
ADDIMLIQ,***,isim,,,,
ADDIMÖLÇƏN,***,isim,isim,,,
ADEKVAT,***,sifət,,,,
ADENOMA,***,isim,,,,
ADƏ,***,,,,,
ADƏM,***,fel,isim,,,
ADƏT,***,isim,,,,
ADƏTA,***,zərf,,,,
ADƏTƏN,***,zərf,,,,
ADƏTKƏR,***,sifət,,,,
ADƏTKƏRDƏ,***,sifət,,,,
ADƏTKƏRDƏLİK,***,isim,,,,
ADHEZİYA,***,isim,,,,
ADI,***,ədat,,,,
ADIBƏDNAM,***,sifət,,,,
ADIBƏDNAMLIQ,***,isim,,,,
ADIBİLİNMƏZ,***,sifət,,,,
ADIGEY,***,isim,,,,
ADIGEYCƏ,***,sifət,zərf,,,
AD(I)NA,***,isim,,,,
ADINALIQ,***,isim,,,,
ADIVAYQANLI,***,isim,,,,
ADİ,***,sifət,,,,
ADİL,***,sifət,,,,
ADİLANƏ,***,zərf,,,,
ADİLƏŞDİRİLMƏ,***,fel,isim,,,
ADİLƏŞDİRİLMƏK,***,fel,,,,
ADİLƏŞDİRMƏ,***,isim,,,,
ADİLƏŞDİRMƏK,***,fel,,,,
ADİLƏŞMƏ,***,isim,,,,
ADİLƏŞMƏK,***,fel,,,,
ADİLİK,***,isim,,,,
ADİLLİK,***,isim,,,,
ADİNƏ,***,,,,,
"ADQOYDU, ADQOYMA",***,isim,,,,
ADLAMA,***,isim,,,,
ADLAMAQ,***,fel,,,,
ADLANDIRILMA,***,isim,,,,
ADLANDIRILMAQ,***,fel,,,,
ADLANDIRMA,***,fel,,,,
ADLANDIRMAQ,***,fel,,,,
ADLANMA,***,isim,,,,
ADLANMAQ,***,fel,,,,
ADLANMA(N)C,***,isim,,,,
ADLI,***,sifət,,,,
ADLIQ,***,,,,,
ADLI-SANLI,***,sifət,,,,
ADMİRAL,***,isim,,,,
ADMİRALLIQ,***,isim,,,,
ADRES,***,,,,,
ADRESAT,***,,,,,
AD-SAN,***,isim,,,,
ADSIZ,***,sifət,,,,
ADSIZLIQ,***,isim,,,,
ADSIZ-SANSIZ,***,sifət,,,,
ADVOKAT,***,isim,,,,
ADVOKATLIQ,***,isim,,,,
ADYAL,***,isim,,,,
ADYUTANT,***,isim,,,,
ADYUTANTLIQ,***,isim,,,,
AERODİNAMİK,***,sifət,,,,
AERODİNAMİKA,***,,,,,
AERODROM,***,,,,,
AEROFOTOQRAFİYA,***,,,,,
AEROXİZƏK,***,isim,,,,
AEROKLUB,***,,,,,
AEROLOGİYA,***,,,,,
AERONAVT,***,,,,,
AERONAVTİKA,***,,,,,
AEROPLAN,***,isim,,,,
AEROPORT,***,,,,,
AEROSƏPİN,***,isim,,,,
AEROSTAT,***,,,,,
AFAQ,***,isim,,,,
AFAT,***,isim,,,,
AFƏRİN,***,,,,,
AFƏT,***,isim,,,,
AFƏTZƏDƏ,***,sifət,,,,
AFFAYI,***,zərf,,,,
AFFEKT,***,,,,,
AFFRİKAT,***,isim,,,,
AFİŞA,***,,,,,
AFİYƏT,***,isim,,,,
AFORİZM,***,isim,,,,
AFORİZMLİ,***,sifət,,,,
AFRİKALI,***,sifət,,,,
AFTAB,***,isim,,,,
AFTABA,***,isim,,,,
AFTAFA,***,isim,,,,
AFTAFA-LƏYƏN,***,isim,,,,
AGAH,***,,,,,
AGAHLIQ,***,isim,,,,
AGENT,***,,,,,
AGENTLİK,***,isim,,,,
AGENTURA,***,,,,,
AGƏH,***,,,,,
AĞ,***,fel,isim,sifət,,
AĞLAR,***,sifət,,,,
AĞ,***,isim,,,,
AĞ,***,isim,,,,
AĞ,***,,,,,
AĞA,***,fel,isim,sifət,,
AĞABACI,***,isim,,,,
AĞAC,***,isim,,,,
AĞACAN,***,isim,,,,
AĞACATMA,***,isim,,,,
AĞACAYAQ,***,isim,,,,
"AĞACDEŞƏN, AĞACDƏLƏN",***,isim,,,,
AĞACDOĞRAYAN,***,sifət,,,,
AĞACKƏPƏNƏYİ,***,isim,,,,
AĞACQURBAĞASI,***,isim,,,,
AĞACQURDU,***,isim,,,,
AĞACLAMAQ,***,fel,,,,
AĞACLAŞMA,***,isim,,,,
AĞACLAŞMA,***,isim,,,,
AĞACLAŞMAQ,***,fel,,,,
AĞACLAŞMAQ,***,fel,,,,
AĞACLI,***,sifət,,,,
AĞACLIQ,***,fel,isim,,,
AĞACMİŞARLAYAN,***,sifət,,,,
AĞACOVAN,***,isim,,,,
AĞAC-UĞAC,***,isim,,,,
AĞACVARİ,***,sifət,,,,
AĞADADAŞ,***,isim,,,,
AĞADAYI,***,isim,,,,
AĞAƏMİ,***,isim,,,,
AĞALANMA,***,isim,,,,
AĞALANMAQ,***,fel,,,,
AĞALIQ,***,isim,,,,
AĞANƏNƏ,***,isim,,,,
AĞAPPAQ,***,sifət,,,,
AĞARAN,***,fsifət,,,,
AĞARANTI,***,isim,,,,
AĞARDICI,***,fel,isim,sifət,,
AĞARDILMA,***,isim,,,,
AĞARDILMAQ,***,fel,,,,
AĞARDILMIŞ,***,fsifət,,,,
AĞARIŞMAQ,***,fel,,,,
AĞARMA,***,fel,,,,
AĞARMAQ,***,fel,,,,
AĞARMIŞ,***,fsifət,,,,
AĞARTDIRMA,***,isim,,,,
AĞARTDIRMAQ,***,fel,,,,
AĞARTI,***,isim,,,,
AĞARTMA,***,isim,,,,
AĞARTMAQ,***,fel,,,,
AĞAYANA,***,sifət,zərf,,,
AĞAZ,***,,,,,
AĞBAĞIR,***,sifət,,,,
AĞBALIQ,***,isim,,,,
AĞBAŞ,***,fel,isim,sifət,,
AĞBAŞLI,***,fel,isim,sifət,,
AĞBƏXT,***,sifət,,,,
AĞBƏNİZ,***,sifət,,,,
AĞBİRÇƏK,***,fel,isim,sifət,,
AĞBİRÇƏKLİ,***,fel,isim,sifət,,
AĞBİRÇƏKLİK,***,isim,,,,
AĞCA,***,isim,,,,
AĞCAQANAD,***,isim,,,,
AĞCAQAYIN,***,isim,,,,
AĞCAQAYINLIQ,***,isim,,,,
AĞCAQOVAQ,***,isim,,,,
AĞCALI,***,sifət,,,,
AĞCALIQ,***,isim,,,,
AĞCAMATAN,***,sifət,,,,
AĞCAMAYA,***,,,,,
AĞCASIZ,***,sifət,,,,
AĞCAVAZ(A),***,sifət,,,,
AĞCİYƏR,***,sifət,,,,
AĞCİYƏRLİK,***,isim,,,,
AĞDAŞ,***,isim,,,,
AĞDƏRİLİ,***,fel,isim,sifət,,
AĞDİŞ,***,isim,,,,
AĞGÖZ,***,sifət,,,,
AĞGÖZLÜK,***,isim,,,,
AĞGÜN(LÜ),***,sifət,,,,
AĞI,***,fel,isim,,,
AĞI,***,isim,,,,
AĞIÇI,***,isim,,,,
AĞIL,***,isim,,,,
AĞIL,***,isim,,,,
AĞILAMA,***,isim,,,,
AĞILAMAQ,***,fel,,,,
AĞILANMA,***,isim,,,,
AĞILANMAQ,***,fel,,,,
AĞILÇATMAZ,***,sifət,,,,
AĞILI,***,sifət,,,,
AĞILKƏSƏN,***,sifət,,,,
AĞILLANDIRILMAQ,***,fel,,,,
AĞILLANDIRMA,***,fel,isim,,,
AĞILLANDIRMAQ,***,fel,,,,
AĞILLANMA,***,isim,,,,
AĞILLANMAQ,***,fel,,,,
AĞILLI,***,,sifət,,,
AĞILLI-BAŞLI,***,sifət,,,,
AĞILLI-KAMALLI,***,,sifət,,,
AĞILLILIQ,***,isim,,,,
AĞILSIZ,***,,sifət,,,
AĞILSIZLAŞMAQ,***,fel,,,,
AĞILSIZLIQ,***,isim,,,,
AĞILUMULMAZ,***,,sifət,,,
AĞILYANA,***,zərf,,,,
AĞIMSOV,***,sifət,,,,
AĞIMTIL,***,sifət,,,,
AĞIMTILLIQ,***,isim,,,,
AĞIR,***,,sifət,zərf,,
AĞIRAYAQ,***,sifət,,,,
AĞIRBAŞLI,***,sifət,,,,
AĞIRXASİYYƏT(Lİ),***,sifət,,,,
AĞIRLAMA,***,isim,,,,
AĞIRLAMAQ,***,fel,,,,
AĞIRLAŞDIRILMA,***,fel,isim,,,
AĞIRLAŞDIRILMAQ,***,fel,,,,
AĞIRLAŞDIRMA,***,isim,,,,
AĞIRLAŞDIRMAQ,***,fel,,,,
AĞIRLAŞMA,***,isim,,,,
AĞIRLAŞMAQ,***,fel,,,,
AĞIRLIQ,***,fel,isim,isim,,
AĞIRSANBALLI,***,,sifət,zərf,,
AĞIRSƏNGİN,***,sifət,,,,
AĞIRSIMAQ,***,fel,,,,
AĞIRTAXTALI,***,sifət,,,,
AĞIRTƏBİƏT(Lİ),***,,sifət,zərf,,
AĞIRTƏRPƏNƏN,***,sifət,,,,
AĞIRTƏRPƏNİŞLİ,***,sifət,,,,
AĞIRYANA,***,sifət,,,,
AĞIRYÜKLÜ,***,sifət,,,,
AĞIR-YÜNGÜL,***,isim,,,,
AĞIRZƏHMLİ,***,sifət,,,,
AĞIZ,***,isim,,,,
AĞIZ,***,isim,,,,
AĞIZAALINMAZ,***,sifət,,,,
AĞIZABAXAN,***,sifət,,,,
AĞIZBAAĞIZ,***,zərf,,,,
AĞIZ-BURUN,***,isim,,,,
AĞIZ-BURUNLU,***,sifət,,,,
AĞIZCIQ,***,isim,isim,,,
AĞIZDAN,***,zərf,,,,
AĞIZDANDOLMA,***,sifət,,,,
AĞIZDOLUSU,***,zərf,,,,
AĞIZLAMAQ,***,fel,,,,
AĞIZLAŞMA,***,isim,,,,
AĞIZLAŞMAQ,***,fel,,,,
AĞIZLI,***,sifət,,,,
AĞIZLIQ,***,fel,isim,,,
AĞIZOTLUQ,***,isim,,,,
AĞIZOTU,***,isim,,,,
AĞIZSIZ,***,sifət,,,,
AĞIZSIZLIQ,***,isim,,,,
AĞIZSÜRÜTMƏSİ,***,zərf,,,,
AĞIZUCU,***,zərf,,,,
AĞKİRPİK,***,isim,,,,
AĞKÖYNƏK(Lİ),***,isim,,,,
AĞQANADLI,***,sifət,,,,
AĞQIZIL,***,,,,,
AĞQOYUNLULAR,***,,,,,
AĞQVARDİYAÇI,***,fel,isim,,,
AĞLABATAN,***,sifət,,,,
AĞLABATMAZ,***,sifət,,,,
AĞLABATMAZLIQ,***,isim,,,,
AĞLADICI,***,sifət,,,,
AĞLAGƏLMƏZ,***,sifət,,,,
AĞLAĞAN,***,fel,isim,sifət,,
AĞLAĞANLIQ,***,isim,,,,
AĞLAMA,***,isim,,,,
AĞLAMAQ,***,,fel,,,
AĞLAMALI,***,sifət,,,,
AĞLAMSI(N)MA,***,fel,isim,,,
AĞLAMSI(N)MAQ,***,fel,,,,
AĞLARCASINA,***,zərf,,,,
AĞLASIĞ(IŞ)AN,***,sifət,,,,
AĞLASIĞMAZ,***,sifət,,,,
AĞLASIĞMAZLIQ,***,isim,,,,
AĞLAŞMA,***,isim,,,,
AĞLAŞMAQ,***,,fel,,,
AĞLATMA,***,isim,,,,
AĞLATMAQ,***,fel,,,,
AĞLAYAN,***,fsifət,,,,
AĞLAYICI,***,sifət,,,,
AĞLAYIŞ,***,isim,,,,
AĞLI,***,,,,,
AĞLIKƏSMƏZ,***,sifət,,,,
AĞLIQ,***,fel,isim,,,
AĞMALA,***,isim,,,,
AĞMATAN,***,sifət,,,,
AĞMAYA,***,sifət,,,,
AĞNAĞAZ,***,isim,,,,
AĞNAQ,***,isim,,,,
AĞNAMA,***,isim,,,,
AĞNAMAQ,***,fel,,,,
AĞNAŞMA,***,isim,,,,
AĞNAŞMAQ,***,fel,,,,
AĞNATMAQ,***,fel,,,,
AĞNAVAZ,***,sifət,,,,
AĞRI,***,isim,,,,
AĞRI-ACI,***,isim,,,,
AĞRI-ACISIZ,***,zərf,,,,
"AĞRIKƏSƏN, AĞRIKƏSİCİ",***,sifət,,,,
AĞRILI,***,sifət,,,,
AĞRIMA,***,isim,,,,
AĞRIMAQ,***,fel,,,,
AĞRISIZ,***,sifət,zərf,,,
AĞRISIZLAŞDIRICI,***,sifət,,,,
AĞRISIZLAŞDIRILMAQ,***,fel,,,,
AĞRISIZLAŞDIRILMIŞ,***,fsifət,,,,
AĞRISIZLAŞDIRMA,***,isim,,,,
AĞRISIZLAŞDIRMAQ,***,fel,,,,
AĞRISIZLIQ,***,isim,,,,
AĞRITMA,***,isim,,,,
AĞRITMAQ,***,fel,,,,
AĞRIYAN,***,fsifət,,,,
AĞSAÇ(LI),***,sifət,,,,
AĞSAQQAL,***,fel,isim,sifət,,
AĞSAQQALLIQ,***,isim,,,,
AĞSİFƏT,***,sifət,,,,
AĞSOL,***,isim,,,,
AĞSU,***,isim,,,,
AĞŞIN,***,sifət,,,,
AĞTİKAN,***,isim,,,,
AĞTİKANLIQ,***,isim,,,,
AĞTORPAQ(LI),***,sifət,,,,
AĞTÜK(LÜ),***,sifət,,,,
AĞU,***,,,,,
AĞULAMA,***,isim,,,,
AĞULAMAQ,***,fel,,,,
AĞULANMA,***,isim,,,,
AĞULANMAQ,***,fel,,,,
AĞULU,***,sifət,,,,
AĞUŞ,***,isim,,,,
AĞUZ,***,isim,,,,
AĞÜRƏK,***,sifət,,,,
AĞÜZLÜ,***,sifət,,,,
AĞVALİDEYN,***,,,,,
AĞYAĞIZ,***,sifət,,,,
AĞYAL,***,sifət,,,,
AĞYANIZ,***,sifət,,,,
AĞYARPAQ,***,isim,,,,
AĞYARPAQLI,***,sifət,,,,
AĞYOL,***,isim,,,,
AĞYONCA,***,isim,,,,
AĞZIAÇIQ,***,sifət,,,,
AĞZIAÇIQLIQ,***,isim,,,,
AĞZIBİR,***,zərf,,,,
AĞZIBİR,***,isim,,,,
AĞZIBİRLİK,***,isim,,,,
AĞZIBOŞ,***,sifət,,,,
AĞZIBOŞLUQ,***,isim,,,,
"AĞZIBÜTÖV, AĞZIBÜTÜN",***,sifət,,,,
"AĞZIBÜTÖVLÜK, AĞZIBÜTÜNLÜK",***,isim,,,,
AĞZICIRIQ,***,sifət,,,,
AĞZIDAĞINIQ,***,fel,isim,sifət,,
AĞZIDAĞINIQLIQ,***,isim,,,,
AĞZIDUALI,***,,sifət,,,
AĞZIƏYRİ,***,sifət,,,,
AĞZIGEN,***,sifət,,,,
"AĞZIGÖYÇƏK, AĞZIGÖVÇƏK",***,isim,,,,
"AĞZIGÖYÇƏKLİ, AĞZIGÖVÇƏKLİK",***,isim,,,,
AĞZIHEYVƏRƏ,***,sifət,,,,
AĞZIHƏDƏLİ,***,sifət,,,,
AĞZIKƏSƏRLİ,***,sifət,,,,
AĞZIKÖPÜKLÜ,***,sifət,,,,
AĞZIQARA,***,fel,isim,sifət,,
AĞZIQƏŞƏNG,***,,,,,
AĞZIMVAY,***,sifət,,,,
AĞZIMVAYLIQ,***,isim,,,,
AĞZIODLU,***,zərf,sifət,,,
AĞZIPƏRTÖV,***,sifət,,,,
AĞZIPƏRTÖVLÜK,***,isim,,,,
AĞZIPOLAD(LI),***,sifət,,,,
AĞZIPOZUQ,***,sifət,,,,
AĞZIPÜSTƏ,***,sifət,,,,
AĞZISÖYÜŞLÜ,***,sifət,,,,
AĞZIYARI,***,sifət,,,,
AĞZIYARIQ,***,sifət,,,,
AĞZIYASTI,***,isim,,,,
AĞZIYAVA,***,sifət,,,,
AĞZIYAVALIQ,***,isim,,,,
AĞZIYELLİ,***,sifət,,,,
AĞZIYIRTIQ,***,sifət,,,,
AĞZIYIRTIQLIQ,***,isim,,,,
AĞZIYUXARI,***,fel,isim,nida,zərf,
AHA,***,nida,,,,
AHAL,***,sifət,,,,
AHALLAŞMA,***,isim,,,,
AHALLAŞMAQ,***,isim,,,,
AH-AMAN,***,fel,isim,nida,,
"AH-ƏFĞAN, AHÜ ƏFĞAN",***,isim,,,,
AHƏN,***,isim,,,,
AHƏNG,***,isim,,,,
AHƏNGDAR,***,zərf,fel,isim,sifət,
AHƏNGDARLIQ,***,isim,,,,
AHƏNGLƏNDİRMƏ,***,isim,,,,
AHƏNGLƏNDİRMƏK,***,fel,,,,
AHƏNGLƏŞDİRMƏ,***,isim,,,,
AHƏNGLƏŞDİRMƏK,***,fel,,,,
AHƏNGLİ,***,zərf,fel,isim,sifət,
AHƏNGLİLİK,***,,,,,
AHƏNGSİZ,***,sifət,,,,
AHƏNGSİZLİK,***,isim,,,,
AHƏNRÜBA,***,isim,,,,
AHƏSTƏ,***,sifət,zərf,,,
AHƏSTƏCƏ,***,zərf,,,,
"AH-FƏĞAN, AHÜ FƏĞAN",***,,,,,
"AH-FƏRYAD, AHÜ FƏRYAD",***,,,,,
AHIL,***,sifət,,,,
AHILLANMA,***,isim,,,,
AHILLANMAQ,***,fel,,,,
AHILLAŞMA,***,isim,,,,
AHILLAŞMAQ,***,fel,,,,
AHILLIQ,***,isim,,,,
"AH-NALƏ, AHÜ NALƏ",***,isim,,,,
AHU,***,isim,,,,
AHUBAXIŞLI,***,sifət,,,,
AH-UF,***,,,,,
AHUGÖZLÜ,***,sifət,,,,
AHUYERİŞLİ,***,sifət,,,,
